epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,523.043,0.99241,9.52049,0.68759,0.84353,1.35534,0.90367,0.92175,0.95027,0.73714,0.42121,0.22888,0.13185,0.02749,0.91856,6.60783,0.5118,0.5844,1.27,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754
2,1005.23,0.88615,6.7716,0.61478,0.62369,1.24784,0.89619,0.88594,0.94293,0.71463,0.73806,0.44386,0.42416,0.15583,0.94653,5.14139,0.40539,0.6528,1.30691,0.0199631,0.00665436,0.0199631,0.00665436,0.0199631,0.00665436,0.0199631,0.00665436
3,1438.51,0.9377,6.17133,0.54708,0.67214,1.27461,0.88072,0.76717,0.87131,0.62109,0.8468,0.4821,0.49278,0.19975,1.22698,5.48828,0.25845,0.84463,1.50951,0.0298656,0.00995519,0.0298656,0.00995519,0.0298656,0.00995519,0.0298656,0.00995519
4,1819.28,0.97328,5.92909,0.4624,0.69896,1.28986,0.85898,0.85854,0.92737,0.70507,0.78992,0.52963,0.5422,0.26203,0.98094,4.49081,0.22212,0.64634,1.38131,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,2076.94,0.91288,5.37957,0.40922,0.63718,1.2459,0.94194,0.90825,0.96535,0.77769,0.80991,0.60074,0.61597,0.38181,0.81189,3.68861,0.12958,0.56752,1.19234,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,2300.53,0.86875,5.0009,0.38083,0.59082,1.21771,0.94731,0.93929,0.97964,0.78199,0.82355,0.64713,0.67011,0.38688,0.82252,3.55204,0.11846,0.47465,1.19548,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2523.83,0.84606,4.77573,0.36306,0.57336,1.20009,0.95031,0.95045,0.98143,0.81773,0.82324,0.67771,0.71265,0.47046,0.74115,3.19808,0.11243,0.42675,1.13045,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2747.36,0.81733,4.58577,0.35229,0.54935,1.1845,0.9578,0.9503,0.98423,0.82471,0.71213,0.63397,0.55621,0.35928,0.7158,3.51664,0.09202,0.40879,1.11944,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2965.03,0.80753,4.46148,0.34518,0.53457,1.17439,0.95321,0.94245,0.98155,0.82215,0.77528,0.65541,0.64689,0.45363,0.74302,3.20113,0.09782,0.41758,1.12159,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,3178.84,0.79685,4.31658,0.33253,0.52186,1.16601,0.95761,0.95587,0.98579,0.82591,0.80822,0.70919,0.70412,0.49015,0.71645,2.89418,0.09322,0.38793,1.09648,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,3391.77,0.7778,4.16797,0.32552,0.50616,1.15747,0.95931,0.95705,0.98615,0.83107,0.81864,0.73515,0.73525,0.53441,0.69361,2.71065,0.08297,0.38471,1.0807,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,3612.67,0.75847,4.02911,0.31654,0.49382,1.14451,0.95814,0.96262,0.98691,0.84164,0.78909,0.70728,0.67761,0.48404,0.66754,2.87112,0.07369,0.36515,1.06452,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,3831.85,0.75474,4.00146,0.31171,0.489,1.14543,0.95971,0.96546,0.98818,0.85594,0.83861,0.74665,0.77182,0.57363,0.64271,2.54045,0.07235,0.35568,1.04707,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,4050.94,0.75008,3.91883,0.30199,0.48372,1.13927,0.96564,0.96419,0.9879,0.85738,0.82036,0.75247,0.74833,0.55304,0.63624,2.55973,0.07622,0.34763,1.04773,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,4261.11,0.73582,3.81627,0.29723,0.4761,1.13479,0.96646,0.96584,0.98824,0.85997,0.83562,0.77788,0.78957,0.58586,0.6283,2.41533,0.06786,0.34716,1.03508,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,4479.89,0.72679,3.74078,0.29243,0.46453,1.12554,0.96595,0.96522,0.9887,0.85849,0.84809,0.77622,0.79513,0.60544,0.63544,2.36874,0.0682,0.33793,1.03528,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,4703.62,0.71695,3.67667,0.28866,0.4564,1.11976,0.96846,0.97337,0.98964,0.86759,0.83337,0.78399,0.79829,0.62035,0.61079,2.31156,0.06727,0.32627,1.02118,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,4920.99,0.70728,3.57714,0.28339,0.44781,1.11383,0.96759,0.96942,0.98856,0.86953,0.83951,0.79839,0.80689,0.62037,0.60348,2.27178,0.06496,0.3252,1.01856,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
